flight_id,distance_km,duration_min,delayed
98,310.3,32.5,0
99,464.0,78.8,1
100,320.4,31.5,1
101,378.4,32.5,1
102,562.9,59.4,0
103,380.8,57.1,0
104,501.1,59.7,0
105,317.3,36.9,0
106,397.4,43.1,0
107,315.5,35.9,0
108,382.7,39.1,0
109,512.4,94.0,0
110,230.0,43.0,1
111,467.8,70.8,0
112,446.2,49.7,1
113,354.6,46.5,0
114,260.9,31.4,0
115,427.9,18.0,0
116,361.8,30.4,0
117,445.6,31.2,0
118,422.4,23.1,0
119,596.2,52.2,0
120,393.7,70.8,0
121,307.4,44.6,0
122,439.7,74.1,0
123,444.2,62.2,0
124,569.5,77.7,0
125,511.9,49.4,0
126,459.3,65.0,1
127,581.0,77.8,0
128,289.2,35.6,0
129,349.6,56.5,1
130,318.1,54.0,0
131,377.1,43.2,0
132,268.6,26.3,0
133,489.9,43.6,1
134,395.6,53.6,1
135,258.2,45.8,1
136,308.3,34.2,0
137,454.5,57.6,0
138,512.2,70.0,1
139,639.6,81.1,0
140,740.5,102.4,1
141,465.6,76.1,0
142,311.2,31.5,0
143,185.5,58.8,0
144,449.4,49.4,1
145,330.6,61.7,0
146,374.3,51.6,0
147,352.7,43.1,0
148,404.5,27.9,0
149,537.3,61.7,1
150,437.3,34.0,0
151,402.6,66.6,0
152,306.1,66.3,0
153,235.8,28.2,0
154,366.5,54.3,0
155,414.1,43.8,0
156,614.5,61.6,0
157,434.3,66.5,0
158,528.1,62.8,0
159,365.1,74.3,0
160,289.7,37.0,0
161,313.8,59.7,0
162,340.2,49.3,0
163,654.1,84.8,0
164,329.6,40.8,0
165,512.2,61.3,0
166,320.7,44.7,1
167,522.5,51.1,0
168,462.3,67.2,0
169,402.8,62.1,1
170,415.5,62.4,0
171,348.0,70.1,1
172,469.1,78.8,0
173,370.0,45.1,0
174,285.2,48.6,1
175,279.4,34.2,0
176,439.0,56.3,0
177,593.7,60.3,1
178,437.6,78.6,0
179,406.9,58.5,0
180,451.4,54.0,0
181,563.7,82.9,0
182,444.1,26.0,0
183,374.8,22.5,0
184,541.7,75.6,0
185,467.2,59.2,0
186,588.9,71.8,0
187,440.2,37.5,0
188,285.3,43.1,0
189,269.5,70.1,0
190,601.6,80.9,0
191,609.6,72.4,0
192,400.3,46.7,1
193,377.8,45.5,0
194,580.8,37.8,0
195,298.2,48.1,0
196,321.6,58.2,0
197,490.8,38.2,1
198,376.6,41.6,0
199,419.4,38.2,0
200,402.0,39.5,0
201,457.1,58.2,0
202,574.8,38.0,0
203,430.0,63.9,0
204,490.8,70.8,0
205,194.5,32.4,0
206,414.6,19.3,0
207,327.2,32.9,0
208,285.9,60.7,1
209,323.4,7.6,0
210,383.2,46.6,0
211,520.7,46.2,0
212,274.1,53.7,0
213,423.4,45.3,1
214,366.7,55.7,0
215,384.0,59.4,0
216,530.3,89.2,0
217,479.2,56.5,0
218,567.1,71.8,0
219,403.0,32.3,0
220,343.4,64.8,0
221,395.4,41.8,0
222,446.7,48.8,0
223,439.4,55.7,0
224,300.7,22.8,0
225,430.0,58.5,0
226,445.1,70.0,1
227,696.9,81.2,1
228,626.5,49.1,0
229,326.1,45.0,0
230,388.4,62.2,0
231,259.0,14.9,0
232,355.0,34.1,0
233,454.7,69.6,1
234,552.6,69.1,0
235,339.8,53.6,0
236,348.0,74.6,0
237,183.8,41.6,0
238,402.1,62.2,0
239,303.1,82.8,1
240,361.8,46.7,0
241,323.5,35.4,0
242,409.6,59.6,0
243,226.6,44.7,1
244,258.6,33.8,0
245,654.2,59.2,0
246,278.4,75.2,0
247,299.4,49.1,0
248,622.1,60.8,0
249,739.6,93.5,0
250,291.1,42.3,0
251,379.5,47.6,1
252,457.6,65.4,0
253,610.2,51.9,0
254,311.4,50.5,0
255,393.0,79.0,0
256,505.5,68.0,1
257,467.8,53.1,0
258,378.6,43.9,0
259,405.3,47.5,0
260,268.8,38.5,0
261,393.8,47.0,0
262,390.7,64.9,0
263,445.5,32.3,1
264,358.9,61.5,1
265,471.9,53.4,0
266,531.4,68.9,0
267,437.1,40.1,1
268,458.7,76.2,0
269,425.8,72.4,0
270,420.0,67.9,0
271,340.6,26.7,1
272,454.8,68.9,0
273,409.3,59.2,0
274,650.2,50.8,1
275,593.1,68.3,0
276,462.4,63.0,1
277,336.1,55.3,0
278,297.6,46.9,0
279,551.0,69.3,0
280,448.9,77.4,0
281,472.8,75.9,0
282,228.1,-1.4,0
283,522.0,58.4,0
284,470.0,56.2,1
285,297.9,19.9,0
286,368.1,51.5,0
287,449.0,74.3,0
288,425.8,39.7,0
289,387.9,56.5,1
290,408.6,40.7,0
291,392.3,42.8,0
292,436.8,76.5,0
293,581.9,60.1,0
294,137.7,37.8,0
295,393.9,26.1,0
296,439.4,82.1,0
297,452.6,65.5,0
298,379.1,48.5,1
299,226.8,46.7,0
300,456.1,37.7,0
301,610.0,86.6,0
302,251.3,36.1,0
303,515.0,59.4,0
304,383.9,44.6,0
305,413.3,45.8,0
306,304.2,54.7,0
307,383.2,55.0,1
308,563.0,75.3,0
309,484.1,59.6,0
310,610.6,77.3,1
311,549.5,59.2,0
312,468.3,89.6,0
313,611.8,48.2,0
314,468.3,76.1,0
315,511.1,81.1,0
316,387.4,39.8,0
317,427.3,86.3,1
318,343.3,62.1,1
319,528.9,77.0,0
320,290.4,44.2,0
321,506.1,58.5,1
322,399.0,49.8,0
323,548.8,70.5,0
324,502.6,80.8,0
325,620.3,73.4,0
326,500.4,48.3,0
327,247.1,51.8,0
328,412.6,66.7,0
329,291.1,53.0,1
330,363.0,60.2,0
331,586.2,64.3,1
332,490.1,47.2,0
333,343.1,36.0,1
334,308.5,22.4,0
335,423.6,58.1,1
336,286.2,42.3,0
337,346.2,42.2,0
338,454.3,15.9,1
339,547.1,47.4,0
340,487.0,75.6,0
341,168.0,24.5,0
342,453.5,62.2,0
343,427.9,35.6,0
344,465.5,78.3,1
345,597.8,67.0,0
346,193.0,39.9,0
347,355.0,81.7,1
348,485.0,81.0,0
349,246.0,35.9,0
350,582.4,59.4,0
351,460.5,53.2,0
352,513.1,69.2,0
353,357.2,47.8,0
354,509.5,56.2,0
355,537.5,84.6,1
356,445.6,54.9,1
357,445.8,88.7,0
358,449.7,58.1,0
359,325.0,71.6,0
360,403.8,58.1,0
361,403.2,66.5,0
362,462.2,47.8,0
363,530.0,51.5,0
364,303.6,51.3,0
365,406.2,67.2,0
366,583.0,68.4,0
367,338.2,29.7,0
368,329.6,28.0,0
369,442.3,36.3,0
370,512.9,37.3,0
371,421.3,56.1,0
372,566.2,82.2,0
373,514.2,62.0,0
374,512.6,30.4,0
375,481.0,56.8,0
376,676.0,73.2,0
377,397.4,81.9,0
378,199.6,16.0,0
379,596.5,63.4,0
380,369.7,74.2,0
381,431.9,61.7,1
382,564.1,74.1,0
383,243.8,41.6,0
384,282.3,47.8,0
385,243.9,50.9,0
386,332.6,35.9,0
387,468.4,70.7,0
388,477.7,39.9,0
389,450.4,61.5,0
390,264.6,44.2,0
391,165.9,25.0,0
392,426.0,54.6,0
393,368.1,41.5,0
394,470.5,43.6,0
395,497.2,55.8,0
396,435.2,40.2,0
397,503.6,65.8,0
398,445.2,40.4,0
399,478.3,69.2,0
400,342.5,31.5,0
401,400.2,44.9,0
402,441.6,47.5,0
403,510.3,80.4,0
404,376.7,55.5,0
405,477.3,56.2,0
406,390.8,59.0,0
407,407.1,23.9,0
408,511.2,61.3,0
409,200.8,64.4,1
410,277.4,44.6,0
411,257.0,42.0,0
412,163.3,41.1,0
413,345.4,60.9,0
414,502.4,33.2,0
415,388.7,28.3,0
416,441.8,59.2,0
417,539.8,54.3,0
418,566.0,84.8,1
419,412.4,49.4,0
420,568.9,39.6,0
421,1474.0,123.1,0
422,1232.3,82.6,1
423,1295.5,122.9,1
424,1065.1,104.7,1
425,1219.1,114.0,0
426,1356.9,146.4,1
427,1658.9,172.8,1
428,1897.4,173.2,0
429,1090.6,79.5,0
430,1552.1,155.9,1
431,1179.5,124.5,0
432,1573.4,153.4,0
433,1415.9,149.8,1
434,974.0,83.6,0
435,1691.4,186.8,1
436,1292.7,112.6,0
437,1311.2,138.0,1
438,1171.9,92.5,0
439,1279.9,111.9,1
440,1561.3,169.3,1
441,1400.8,131.2,0
442,1535.5,157.7,1
443,1544.1,149.9,0
444,1793.4,165.6,0
445,1360.9,150.7,0
446,1066.0,104.1,1
447,1727.5,136.7,0
448,1363.8,120.6,1
449,1739.8,170.4,1
450,1549.7,152.6,0
451,1415.9,114.2,0
452,1540.7,136.2,1
453,1957.3,172.4,1
454,1990.0,178.1,0
455,1468.0,121.1,0
456,1491.6,133.5,1
457,1729.8,151.6,0
458,1230.1,131.7,1
459,1536.6,157.3,1
460,1443.3,136.3,0
461,1531.6,140.1,0
462,1233.3,123.1,1
463,1036.7,93.6,1
464,911.0,78.6,1
465,1159.5,101.9,0
466,1330.7,120.2,1
467,1373.8,116.4,1
468,1953.7,182.5,0
469,1737.6,172.7,1
470,1199.9,96.2,0
471,1540.4,146.7,1
472,1344.2,127.1,0
473,1376.1,137.6,1
474,1498.2,142.7,1
475,1611.0,131.8,1
476,1361.8,114.0,0
477,1726.6,162.0,0
478,1153.1,129.0,1
479,1451.6,108.0,1
480,2125.4,199.1,0
481,1508.0,160.3,1
482,1822.6,167.3,1
483,1473.8,148.6,0
484,1601.0,141.4,1
485,1435.2,136.0,1
486,1405.7,112.6,1
487,1247.3,89.5,1
488,1561.9,161.3,1
489,1228.6,107.0,0
490,1623.1,146.7,0
491,1732.2,142.6,1
492,1545.3,127.0,0
493,1375.6,130.4,1
494,1568.0,138.4,0
495,1369.7,137.6,1
496,1693.2,165.2,0
497,973.8,104.3,1
498,1362.7,135.1,1
499,932.4,118.5,1
500,1061.3,92.1,1
501,1804.6,167.2,1
502,1682.7,173.8,0
503,1262.9,141.3,0
504,1059.3,87.0,1
505,679.2,71.3,0
506,1308.7,146.3,0
507,2079.3,197.6,0
508,1563.1,150.9,0
509,1304.5,123.9,0
510,1570.9,143.4,1
511,1044.2,109.7,0
512,1372.7,129.0,0
513,1475.9,140.4,1
514,1427.6,138.2,1
515,1655.6,146.3,1
516,1539.6,153.7,0
517,1623.8,193.9,1
518,1271.0,99.3,0
519,1683.4,162.6,0
520,1873.5,163.0,0
521,1197.8,126.3,1
522,1219.2,120.6,0
523,1797.3,178.0,0
524,1400.3,151.3,1
525,1815.0,171.5,0
526,1334.9,145.3,1
527,1828.3,137.1,0
528,1484.2,164.0,1
529,1517.1,149.7,1
530,1856.8,187.3,1
531,1355.9,114.1,1
532,1205.3,107.2,1
533,1333.4,131.4,0
534,1567.6,148.3,1
535,1042.9,109.5,1
536,1615.7,167.7,0
537,1309.9,102.7,0
538,1748.4,177.0,1
539,827.5,88.0,0
540,1245.5,119.3,1
541,1011.5,82.3,0
542,1235.2,128.3,1
543,1514.4,110.4,0
544,1403.4,144.2,0
545,1384.1,112.6,0
546,1408.6,136.3,0
547,1502.9,141.6,0
548,1187.8,133.8,1
549,1633.8,151.5,0
550,1622.3,143.3,0
551,1550.1,140.0,0
552,1594.7,168.6,1
553,1527.1,152.7,1
554,1979.1,176.9,0
555,1427.4,133.7,1
556,1370.2,110.4,1
557,1254.1,128.3,1
558,1181.6,92.3,0
559,1126.4,122.9,1
560,1218.9,121.8,1
561,1431.6,170.8,1
562,1536.9,130.6,0
563,1463.3,138.6,0
564,1251.0,147.8,1
565,1684.0,174.8,1
566,1642.2,144.9,0
567,1408.5,138.6,1
568,1280.2,125.0,0
569,1592.6,154.5,1
570,1498.9,133.1,0
571,1073.5,106.8,1
572,1432.3,115.1,0
573,1518.1,146.4,1
574,1216.1,126.0,0
575,1499.4,139.8,0
576,1071.7,85.3,0
577,1797.4,181.2,1
578,1774.5,170.6,1
579,1384.3,123.4,0
580,1544.5,142.7,0
581,823.4,66.5,0
582,1149.3,99.9,1
583,1373.6,125.1,1
584,1171.2,133.2,0
585,1635.7,145.2,0
586,1969.3,190.4,0
587,1144.1,106.3,0
588,1232.3,124.5,1
589,1511.2,141.9,1
590,1868.9,185.5,1
591,1132.2,105.4,0
592,1514.7,122.2,1
593,1923.5,158.4,1
594,1020.5,96.2,1
595,1116.9,94.1,1
596,1339.9,135.6,0
597,1314.6,121.3,1
598,1661.3,189.5,1
599,1512.8,119.7,0
600,988.5,103.9,1
601,1584.0,134.1,1
602,1299.8,119.7,1
603,1781.4,168.1,0
604,1286.8,93.0,1
605,1284.5,128.6,0
606,1590.7,177.1,0
607,1648.4,148.8,0
608,1566.5,152.1,1
609,1011.7,117.3,0
610,1589.9,148.1,1
611,1181.1,108.7,1
612,1511.2,112.1,1
613,1079.8,117.5,1
614,1566.0,146.8,1
615,1240.3,107.5,1
616,1116.5,113.3,1
617,1635.6,145.9,1
618,1512.8,136.7,0
619,1290.4,134.3,0
620,1827.3,151.1,1
621,1335.4,144.2,0
622,1458.3,120.0,1
623,1519.9,135.4,1
624,1288.9,152.6,1
625,1572.5,164.7,1
626,1311.3,128.9,1
627,1343.0,117.0,1
628,1804.3,160.5,1
629,1179.4,117.7,1
630,822.7,88.0,1
631,1868.8,172.0,1
632,2112.8,192.8,1
633,1344.6,127.3,1
634,946.4,77.4,1
635,1369.3,125.0,1
636,1375.6,145.6,1
637,1400.6,115.7,1
638,1160.5,112.5,0
639,1600.7,139.8,1
640,1586.4,151.6,1
641,1061.5,101.6,1
642,1631.8,174.5,0
643,1983.7,189.8,0
644,1494.7,124.2,0
645,1362.3,141.1,0
646,1413.1,125.0,1
647,1610.0,143.9,0
648,1000.0,106.4,1
649,1492.7,135.5,0
650,1348.5,143.1,1
651,1930.4,167.5,1
652,1404.7,126.5,0
653,1883.7,165.3,1
654,1163.0,107.4,0
655,1602.7,166.8,1
656,1533.0,154.5,0
657,1224.0,144.3,0
658,1496.1,174.4,1
659,1765.3,150.3,0
660,1365.8,133.0,0
661,1010.1,86.4,0
662,1445.4,127.6,1
663,1215.4,110.8,1
664,1361.0,116.8,0
665,1428.8,122.4,1
666,1006.5,100.5,1
667,1029.9,87.4,1
668,1575.3,161.0,0
669,1314.1,114.9,1
670,783.2,123.6,0
671,1654.1,149.3,0
672,1520.8,145.7,1
673,1264.4,105.5,1
674,1107.6,134.7,0
675,1667.3,172.4,1
676,1540.8,150.5,0
677,2069.5,170.8,1
678,1559.2,150.8,0
679,1550.8,131.5,1
680,1406.6,155.8,0
681,1662.4,167.6,0
682,1612.5,153.6,1
683,1775.4,131.5,0
684,1314.5,114.0,0
685,1336.8,139.2,0
686,1325.4,145.7,1
687,1655.6,171.3,1
688,1839.6,148.6,1
689,1330.7,133.3,1
690,1339.6,144.1,1
691,1531.7,122.4,0
692,1386.1,133.5,1
693,1697.5,163.0,0
694,864.5,86.7,1
695,1235.1,95.3,1
696,1246.6,117.7,1
697,846.7,84.8,0
698,1199.5,116.3,0
699,1212.1,111.5,0
700,1397.7,128.4,0
701,1739.4,162.1,1
702,1386.3,139.9,0
703,1182.0,112.7,1
704,1435.2,132.0,0
705,1722.8,162.6,1
706,1196.3,91.2,1
707,1213.3,126.2,1
708,1595.2,150.8,1
709,1392.4,134.7,1
710,1618.3,166.2,0
711,1446.5,111.3,0
712,1632.4,126.2,0
713,1180.9,120.7,1
714,1446.9,138.5,0
715,1395.2,136.8,1
716,1133.9,106.5,1
717,1043.5,114.9,1
718,1628.3,166.6,1
719,1358.8,138.2,0
720,1184.2,113.5,1
721,1425.0,107.3,1
722,1743.3,173.7,0
723,857.0,107.4,1
724,1060.9,116.0,0
725,1210.0,106.9,1
726,1829.9,179.5,0
727,1523.5,157.0,0
728,1649.5,177.1,0
729,1153.6,102.3,0
730,1158.9,111.9,0
731,1566.4,158.9,0
732,1465.2,140.9,1
733,1592.7,135.0,1
734,1401.2,140.7,0
735,1522.3,152.9,1
736,1491.1,143.5,1
737,1652.2,158.6,1
738,1659.8,152.5,1
739,1028.8,125.1,1
740,865.7,78.4,0
741,1710.5,152.0,0
742,1758.8,164.4,0
743,1184.6,129.4,1
744,966.4,78.3,1
745,1475.7,122.7,0
746,1692.0,130.2,1
747,1917.4,177.7,0
748,1584.2,134.3,1
749,1353.4,125.6,0
750,1217.8,129.1,1
751,1453.0,130.2,0
752,1372.2,135.8,0
753,1186.1,113.1,1
754,1982.7,192.0,0
755,1914.1,183.6,1
756,1745.4,153.4,0
757,1210.6,116.9,0
758,1672.3,171.7,1
759,1616.3,158.0,1
760,1565.1,128.8,0
761,1774.9,174.7,1
762,1615.2,137.3,0
763,1642.4,174.5,0
764,1615.6,166.8,0
765,1538.6,150.2,1
766,986.3,103.1,0
767,1471.7,137.8,0
768,1305.4,136.5,1
769,1117.2,106.4,1
770,1887.3,178.1,1
771,1899.5,188.0,1
772,1803.4,160.0,0
773,1516.4,135.7,1
774,1801.2,151.0,0
775,1453.1,124.3,1
776,1502.7,117.6,1
777,1165.7,125.8,1
778,1553.2,172.7,0
779,1465.7,160.1,0
780,1111.3,88.4,1
781,1436.7,148.0,0
782,1429.3,157.1,1
783,1917.4,170.8,1
784,1682.5,159.4,1
785,1453.0,111.0,0
786,1514.7,147.9,0
787,1461.5,125.0,0
788,1397.2,137.4,1
789,1168.6,94.0,1
790,1410.7,143.3,0
791,1256.0,137.3,1
792,1124.9,101.3,0
793,1582.9,133.9,0
794,1551.7,117.1,1
795,985.5,97.1,0
796,1418.1,128.1,0
797,1708.9,138.4,1
798,1725.4,167.8,0
799,1716.7,154.5,0
800,1460.1,124.7,1
801,1230.3,113.1,0
802,1168.2,130.8,1
803,1539.6,154.7,0
804,1548.6,145.2,0
805,1784.7,175.0,0
806,1736.0,146.1,1
807,1415.6,136.5,0
808,1126.5,114.4,1
809,1367.0,125.5,1
810,1506.5,149.6,1
811,1397.5,123.7,0
812,1299.7,133.7,1
813,1515.8,152.0,1
814,1319.0,87.3,0
815,1286.7,142.2,1
816,1531.0,102.9,1
817,1345.5,121.7,1
818,1513.5,158.5,1
819,1521.0,140.3,0
820,1153.7,94.1,1
821,2441.2,204.9,1
822,3074.5,286.5,0
823,2216.5,174.9,1
824,1901.5,191.7,1
825,1985.6,182.0,0
826,2609.6,217.3,0
827,2610.2,225.9,1
828,2561.2,215.8,1
829,3000.7,278.2,1
830,1718.0,171.1,1
831,2730.7,219.8,1
832,3115.3,269.8,1
833,2227.8,190.6,1
834,2474.7,241.0,1
835,2351.5,193.9,1
836,2304.9,231.5,1
837,2492.3,223.9,1
838,3071.1,255.6,1
839,3200.0,272.9,1
840,2489.1,212.9,0
841,3200.0,264.6,0
842,2611.7,235.5,0
843,3178.7,263.5,0
844,2569.2,200.2,0
845,2643.2,231.4,1
846,2720.6,217.8,1
847,3200.0,271.9,1
848,2880.9,243.5,1
849,2366.6,201.9,1
850,2919.8,287.4,1
851,2480.6,224.2,0
852,2438.4,223.4,1
853,2899.8,232.9,0
854,2610.3,224.9,1
855,2691.9,243.8,1
856,2604.6,219.2,1
857,2711.1,255.0,1
858,2740.2,227.9,1
859,1960.8,176.8,1
860,2820.0,243.0,0
861,2275.9,208.9,1
862,2124.0,185.2,1
863,2580.7,227.8,1
864,2627.7,232.2,1
865,2371.1,204.2,1
866,2874.2,262.5,1
867,2157.1,200.2,1
868,2465.7,220.9,1
869,2407.0,211.3,1
870,2584.6,243.1,1
871,2692.0,237.4,1
872,2267.4,201.6,1
873,2839.0,254.3,1
874,2620.8,258.7,1
875,1975.7,163.2,1
876,1953.7,191.0,1
877,2595.9,206.4,1
878,2527.1,230.3,1
879,2565.9,252.5,1
880,2590.8,239.3,0
881,2674.4,241.7,1
882,2912.7,251.0,0
883,2233.3,203.6,1
884,2213.2,198.0,1
885,2239.2,192.6,1
886,2695.3,237.0,1
887,3010.8,269.7,1
888,2457.7,210.8,1
889,1774.4,154.2,0
890,2037.7,168.0,1
891,2325.1,216.1,1
892,2415.9,225.7,1
893,2465.2,225.4,0
894,2612.7,247.8,1
895,2497.1,226.0,1
896,2946.3,267.1,1
897,2376.9,219.2,1
898,2315.4,208.6,1
899,2758.0,238.7,0
900,2093.2,222.6,1
901,2728.6,237.4,1
902,2633.8,226.7,1
903,2551.3,235.3,1
904,3124.1,279.7,1
905,2394.7,196.7,1
906,3200.0,298.1,1
907,2525.6,225.8,1
908,2178.6,183.1,1
909,2623.1,251.7,0
910,2244.8,212.8,1
911,2351.9,195.2,0
912,2731.0,268.8,0
913,2783.3,257.5,1
914,2394.7,216.2,1
915,2925.8,282.2,1
916,2982.0,266.8,1
917,3074.0,271.7,1
918,2774.7,238.3,1
919,3049.9,278.2,1
920,1979.3,189.0,0
921,2495.1,224.8,0
922,2313.9,198.7,1
923,2639.3,238.2,1
924,2411.4,216.8,0
925,2545.2,210.0,1
926,3200.0,261.8,1
927,2544.0,236.5,0
928,2736.6,208.0,1
929,2523.4,229.8,1
930,2625.0,228.6,1
931,2602.0,251.7,0
932,2747.9,238.4,1
933,2984.6,274.0,1
934,3143.6,272.2,1
935,2702.2,243.2,1
936,2794.6,259.5,1
937,2220.2,195.6,1
938,2571.0,244.8,0
939,2910.3,244.7,1
940,2885.8,260.8,1
941,2669.8,251.8,1
942,2892.5,266.4,1
943,2762.0,273.3,1
944,2996.1,255.0,1
945,2695.5,221.7,1
946,2482.6,209.7,1
947,2710.8,251.5,1
948,1632.9,160.9,1
949,2726.4,245.0,1
950,1396.0,118.8,0
951,2031.3,197.3,1
952,2749.1,228.3,0
953,2757.6,262.3,0
954,2216.4,241.7,1
955,2365.0,219.1,0
956,3052.3,278.5,1
957,2440.3,213.2,1
958,3200.0,257.1,1
959,2599.4,224.7,1
960,2734.7,228.9,1
961,3133.6,256.7,1
962,2643.2,260.9,1
963,2269.2,209.9,1
964,2563.8,235.5,1
965,2588.2,227.9,1
966,2149.6,193.8,1
967,2515.6,239.8,1
968,2355.1,212.7,1
969,2905.0,265.6,1
970,2611.4,231.4,1
971,2506.7,220.8,1
972,2565.0,210.6,1
973,2673.6,211.5,1
974,2803.5,246.2,1
975,2270.1,206.9,1
976,2256.3,187.0,1
977,2964.5,262.6,1
978,2463.9,222.8,1
979,2132.4,164.7,1
980,2746.5,232.4,1
981,2752.9,251.4,1
982,2094.9,197.2,1
983,2675.7,223.3,1
984,2842.7,255.3,1
985,2723.5,257.6,1
986,2808.6,261.2,1
987,2136.6,193.9,0
988,2709.2,235.6,1
989,2500.1,216.2,1
990,2440.7,226.7,1
991,2887.3,259.5,0
992,3088.2,282.0,1
993,3192.1,283.6,0
994,3033.9,280.2,1
995,2563.8,231.6,1
996,2716.4,253.7,1
997,2853.1,266.1,1
998,2640.0,225.2,1
999,2643.2,211.4,0
1000,2871.8,277.1,1
